Location,Place_to_Go,Temperature
Darjeeling,Hill Station,36.8
Mumbai,Beach,33.7
Kutch,Desert,36.9
Chennai,Beach,36.7
Darjeeling,Hill Station,25.3
Hyderabad,Water Park,22.6
Goa,Beach,24.5
Puri,Beach,29.0
Chennai,Beach,36.0
Kutch,Desert,20.8
Shimla,Hill Station,11.8
Shimla,Hill Station,12.1
Bikaner,Desert,23.2
Delhi,Water Park,20.7
Goa,Beach,39.8
Jaisalmer,Desert,38.6
Puri,Beach,23.2
Ooty,Hill Station,39.3
Manali,Hill Station,29.1
Darjeeling,Hill Station,15.7
Manali,Hill Station,21.4
Manali,Hill Station,13.8
Bangalore,Water Park,15.9
Puri,Beach,28.1
Shimla,Hill Station,18.5
Bikaner,Desert,23.3
Shimla,Hill Station,28.7
Kolkata,Water Park,17.1
Shimla,Hill Station,27.9
Ooty,Hill Station,39.9
Jaisalmer,Desert,32.8
Kolkata,Water Park,39.2
Bangalore,Water Park,36.9
Bangalore,Water Park,18.5
Jaisalmer,Desert,15.6
Kolkata,Water Park,17.2
Jaisalmer,Desert,24.8
Chennai,Beach,18.2
Ooty,Hill Station,29.3
Jaisalmer,Desert,27.0
Jaipur,Desert,14.6
Mumbai,Beach,28.6
Kutch,Desert,17.9
Kutch,Desert,25.2
Ooty,Hill Station,12.2
Bikaner,Desert,14.1
Jaipur,Desert,36.7
Bangalore,Water Park,22.9
Kolkata,Water Park,24.5
Bikaner,Desert,24.8
Shimla,Hill Station,11.3
Bangalore,Water Park,30.1
Jaipur,Desert,36.2
Bangalore,Water Park,37.3
Jaisalmer,Desert,37.1
Bikaner,Desert,34.7
Manali,Hill Station,11.0
Hyderabad,Water Park,22.0
Goa,Beach,10.0
Hyderabad,Water Park,17.6
Bangalore,Water Park,13.0
Kolkata,Water Park,11.9
Shimla,Hill Station,18.5
Delhi,Water Park,12.4
Bikaner,Desert,14.8
Kutch,Desert,31.0
Jaipur,Desert,39.2
Ooty,Hill Station,12.1
Bangalore,Water Park,17.6
Bangalore,Water Park,18.0
Puri,Beach,12.9
Goa,Beach,18.0
Kolkata,Water Park,33.4
Shimla,Hill Station,32.5
Bangalore,Water Park,26.4
Jaisalmer,Desert,26.2
Manali,Hill Station,39.6
Puri,Beach,30.8
Manali,Hill Station,37.1
Hyderabad,Water Park,22.8
Kutch,Desert,31.1
Shimla,Hill Station,13.4
Bikaner,Desert,15.6
Manali,Hill Station,26.2
Kutch,Desert,34.8
Jaipur,Desert,17.7
Jaisalmer,Desert,27.3
Shimla,Hill Station,10.2
Ooty,Hill Station,38.6
Mumbai,Beach,32.2
Puri,Beach,28.7
Jaisalmer,Desert,39.4
Bangalore,Water Park,21.5
Delhi,Water Park,32.2
Delhi,Water Park,12.8
Kutch,Desert,20.3
Darjeeling,Hill Station,18.3
Chennai,Beach,15.9
Manali,Hill Station,24.3
Kolkata,Water Park,40.0
Mumbai,Beach,13.2
Manali,Hill Station,32.1
Manali,Hill Station,25.7
Jaisalmer,Desert,21.2
Ooty,Hill Station,40.0
Chennai,Beach,25.7
Mumbai,Beach,17.4
Jaisalmer,Desert,31.0
Ooty,Hill Station,39.0
Bikaner,Desert,34.6
Jaisalmer,Desert,14.5
Bangalore,Water Park,34.1
Darjeeling,Hill Station,37.0
Delhi,Water Park,25.0
Jaipur,Desert,28.6
Puri,Beach,22.5
Bikaner,Desert,35.0
Hyderabad,Water Park,11.7
Darjeeling,Hill Station,18.3
Kolkata,Water Park,16.9
Puri,Beach,26.1
Hyderabad,Water Park,39.3
Ooty,Hill Station,11.7
Hyderabad,Water Park,30.9
Delhi,Water Park,21.0
Jaipur,Desert,39.5
Jaipur,Desert,13.2
Mumbai,Beach,37.5
Jaipur,Desert,14.2
Kutch,Desert,12.3
Bangalore,Water Park,30.3
Manali,Hill Station,37.0
Bikaner,Desert,25.4
Mumbai,Beach,17.1
Chennai,Beach,20.6
Darjeeling,Hill Station,11.4
Darjeeling,Hill Station,37.5
Darjeeling,Hill Station,33.6
Ooty,Hill Station,21.8
Darjeeling,Hill Station,33.9
Mumbai,Beach,11.7
Hyderabad,Water Park,19.3
Chennai,Beach,31.4
Puri,Beach,35.1
Delhi,Water Park,35.7
Delhi,Water Park,22.4
Hyderabad,Water Park,38.2
Darjeeling,Hill Station,29.0
Goa,Beach,37.3
Darjeeling,Hill Station,24.8
Manali,Hill Station,15.3
Bangalore,Water Park,15.6
Jaisalmer,Desert,18.7
Chennai,Beach,39.2
Puri,Beach,13.7
Kutch,Desert,38.4
Kolkata,Water Park,22.8
Bangalore,Water Park,14.0
Bangalore,Water Park,19.8
Bangalore,Water Park,12.1
Kolkata,Water Park,32.8
Hyderabad,Water Park,22.9
Puri,Beach,21.1
Chennai,Beach,37.9
Jaisalmer,Desert,15.4
Puri,Beach,30.5
Delhi,Water Park,10.8
Goa,Beach,33.8
Hyderabad,Water Park,15.1
Kutch,Desert,30.4
Mumbai,Beach,39.6
Goa,Beach,13.0
Chennai,Beach,32.0
Delhi,Water Park,26.0
Kolkata,Water Park,32.1
Manali,Hill Station,18.3
Jaipur,Desert,24.0
Goa,Beach,32.6
Goa,Beach,37.4
Mumbai,Beach,23.5
Kolkata,Water Park,23.5
Ooty,Hill Station,12.2
Shimla,Hill Station,17.5
Kolkata,Water Park,12.8
Bikaner,Desert,20.6
Ooty,Hill Station,23.1
Puri,Beach,38.1
Kutch,Desert,12.2
Hyderabad,Water Park,17.1
Bikaner,Desert,35.9
Bangalore,Water Park,13.7
Chennai,Beach,34.4
Kolkata,Water Park,12.6
Kutch,Desert,39.4
Hyderabad,Water Park,10.7
Chennai,Beach,37.9
Ooty,Hill Station,20.6
Mumbai,Beach,24.8
Puri,Beach,25.7
Bikaner,Desert,18.5
Shimla,Hill Station,37.3
Goa,Beach,32.9
Bikaner,Desert,23.2
Kutch,Desert,24.6
Kolkata,Water Park,31.1
Mumbai,Beach,11.1
Puri,Beach,13.4
Bikaner,Desert,11.8
Goa,Beach,28.2
Bikaner,Desert,18.3
Hyderabad,Water Park,15.7
Bangalore,Water Park,21.4
Jaipur,Desert,39.3
Shimla,Hill Station,35.8
Bangalore,Water Park,29.0
Hyderabad,Water Park,15.6
Goa,Beach,35.2
Jaisalmer,Desert,15.3
Hyderabad,Water Park,34.1
Hyderabad,Water Park,39.2
Shimla,Hill Station,13.9
Bangalore,Water Park,17.4
Jaisalmer,Desert,11.8
Jaisalmer,Desert,36.0
Jaisalmer,Desert,13.7
Goa,Beach,11.6
Kutch,Desert,24.2
Jaisalmer,Desert,23.9
Puri,Beach,35.8
Hyderabad,Water Park,18.4
Shimla,Hill Station,18.2
Darjeeling,Hill Station,25.7
Kolkata,Water Park,33.9
Darjeeling,Hill Station,16.1
Puri,Beach,13.1
Kolkata,Water Park,14.7
Kolkata,Water Park,24.8
Bangalore,Water Park,36.8
Bikaner,Desert,35.0
Bangalore,Water Park,11.9
Manali,Hill Station,25.5
Shimla,Hill Station,38.2
Shimla,Hill Station,16.2
Goa,Beach,24.9
Shimla,Hill Station,14.1
Jaisalmer,Desert,30.1
Delhi,Water Park,39.4
Hyderabad,Water Park,28.5
Delhi,Water Park,21.3
Kolkata,Water Park,30.6
Kolkata,Water Park,15.4
Mumbai,Beach,25.5
Kutch,Desert,15.0
Jaisalmer,Desert,24.2
Bangalore,Water Park,35.2
Hyderabad,Water Park,14.1
Kutch,Desert,25.1
Kutch,Desert,18.0
Bikaner,Desert,30.2
Jaisalmer,Desert,23.0
Kolkata,Water Park,14.3
Darjeeling,Hill Station,20.4
Manali,Hill Station,15.7
Delhi,Water Park,33.6
Bangalore,Water Park,36.8
Darjeeling,Hill Station,29.5
Darjeeling,Hill Station,31.6
Chennai,Beach,21.3
Manali,Hill Station,37.1
Jaisalmer,Desert,22.1
Chennai,Beach,14.2
Hyderabad,Water Park,31.7
Jaisalmer,Desert,21.1
Puri,Beach,36.9
Ooty,Hill Station,19.5
Manali,Hill Station,16.0
Mumbai,Beach,21.7
Manali,Hill Station,13.5
Kolkata,Water Park,38.3
Puri,Beach,19.1
Shimla,Hill Station,20.8
Shimla,Hill Station,18.0
Jaisalmer,Desert,26.3
Shimla,Hill Station,13.3
Kolkata,Water Park,35.0
Jaisalmer,Desert,33.7
Delhi,Water Park,26.4
Manali,Hill Station,18.1
Jaisalmer,Desert,24.0
Goa,Beach,15.0
Delhi,Water Park,33.0
Darjeeling,Hill Station,15.0
Shimla,Hill Station,36.8
Delhi,Water Park,16.1
Goa,Beach,28.5
Bikaner,Desert,32.4
Shimla,Hill Station,36.9
Hyderabad,Water Park,26.8
Puri,Beach,10.8
Jaisalmer,Desert,30.3
Chennai,Beach,19.2
Puri,Beach,35.8
Jaisalmer,Desert,33.6
Darjeeling,Hill Station,39.0
Kutch,Desert,16.2
Jaisalmer,Desert,10.1
Shimla,Hill Station,26.1
Shimla,Hill Station,39.1
Hyderabad,Water Park,27.2
Manali,Hill Station,26.4
Ooty,Hill Station,36.0
Bangalore,Water Park,34.0
Jaipur,Desert,10.3
Mumbai,Beach,26.8
Goa,Beach,23.7
Kolkata,Water Park,34.5
Shimla,Hill Station,16.6
Bangalore,Water Park,28.3
Darjeeling,Hill Station,14.2
Mumbai,Beach,22.3
Manali,Hill Station,32.6
Kutch,Desert,37.0
Jaisalmer,Desert,37.1
Darjeeling,Hill Station,10.8
Hyderabad,Water Park,11.9
Delhi,Water Park,14.1
Bikaner,Desert,24.8
Puri,Beach,35.6
Goa,Beach,16.6
Delhi,Water Park,31.4
Shimla,Hill Station,17.0
Kolkata,Water Park,14.9
Goa,Beach,34.2
Kutch,Desert,39.1
Bikaner,Desert,14.2
Bangalore,Water Park,24.3
Ooty,Hill Station,23.9
Manali,Hill Station,22.2
Puri,Beach,31.4
Jaisalmer,Desert,30.7
Puri,Beach,16.2
Delhi,Water Park,21.9
Bangalore,Water Park,12.1
Shimla,Hill Station,15.0
Shimla,Hill Station,26.8
Goa,Beach,30.6
Bikaner,Desert,35.1
Kolkata,Water Park,22.8
Manali,Hill Station,13.1
Delhi,Water Park,10.4
Puri,Beach,11.4
Kutch,Desert,25.0
Ooty,Hill Station,35.0
Jaipur,Desert,30.5
Chennai,Beach,34.1
Ooty,Hill Station,15.2
Kutch,Desert,37.8
Jaipur,Desert,16.7
Puri,Beach,26.1
Bangalore,Water Park,18.9
Jaipur,Desert,38.6
Bangalore,Water Park,35.5
Mumbai,Beach,22.5
Delhi,Water Park,38.9
Jaipur,Desert,39.1
Kolkata,Water Park,38.8
Manali,Hill Station,34.8
Hyderabad,Water Park,14.9
Chennai,Beach,28.0
Darjeeling,Hill Station,26.2
Goa,Beach,18.6
Mumbai,Beach,29.1
Bikaner,Desert,11.6
Jaisalmer,Desert,37.1
Chennai,Beach,33.9
Jaisalmer,Desert,19.8
Mumbai,Beach,39.8
Puri,Beach,30.4
Kutch,Desert,25.5
Chennai,Beach,25.5
Delhi,Water Park,10.0
Kutch,Desert,23.6
Jaisalmer,Desert,11.6
Manali,Hill Station,23.1
Darjeeling,Hill Station,39.5
Jaisalmer,Desert,22.7
Jaipur,Desert,24.2
Darjeeling,Hill Station,31.1
Kutch,Desert,37.2
Ooty,Hill Station,28.4
Delhi,Water Park,10.5
Bikaner,Desert,25.6
Shimla,Hill Station,20.0
Ooty,Hill Station,14.5
Bangalore,Water Park,24.2
Jaipur,Desert,27.4
Kolkata,Water Park,33.0
Mumbai,Beach,19.4
Hyderabad,Water Park,23.9
Ooty,Hill Station,16.0
Darjeeling,Hill Station,10.7
Kolkata,Water Park,15.1
Chennai,Beach,18.4
Shimla,Hill Station,24.2
Mumbai,Beach,29.1
Shimla,Hill Station,33.8
Jaisalmer,Desert,20.3
Mumbai,Beach,19.2
Chennai,Beach,15.2
Bangalore,Water Park,31.1
Delhi,Water Park,33.3
Shimla,Hill Station,11.1
Manali,Hill Station,26.1
Mumbai,Beach,37.2
Darjeeling,Hill Station,27.9
Darjeeling,Hill Station,34.5
Delhi,Water Park,32.1
Shimla,Hill Station,10.3
